rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m,elev_min,elev_max,elev_mean,elev_count,elev_std,elev_median,elev_p25,elev_p75,elev_frac_covered,elev_relief,thick_mean,thick_count,thick_std,thick_median,thick_p25,thick_p75,thick_frac_covered,winter_mean,winter_median,winter_std,winter_p25,winter_p75,winter_count,winter_frac_covered,summer_mean,summer_median,summer_std,summer_p25,summer_p75,summer_count,summer_frac_covered,season_delta_md_mean,season_delta_md_median,season_delta_md_count,season_delta_md_frac_covered,season_delta_pct_mean,season_delta_pct_median,season_delta_pct_count,season_delta_pct_frac_covered,vel17_21_mean,vel17_21_median,vel17_21_std,vel17_21_count,vel17_21_frac_covered,vel21_25_mean,vel21_25_median,vel21_25_std,vel21_25_count,vel21_25_frac_covered,vel_delta_md,vel_delta_pct,trend_pctyr_mean,trend_pctyr_median,trend_pctyr_std,trend_pctyr_count,trend_pctyr_frac_covered
RGI2000-v7.0-G-14-19871,14,14-02,G077148E35111N,856665,752,2002-07-10T00:00:00,77.0925122409695,35.1259785,43,28.499222831281116,0,0,0,9,,0,77.17346676900641,35.127054429419324,4228.3135,6364.844,5383.3154,5370.595,17.659515,72.32616,3,COPDEM90,14210,5016.798828125,5764.72314453125,5402.948039215687,510.0,182.6591828485833,5443.4814453125,5256.0966796875,5535.569580078125,1.0,747.92431640625,188.90841501447983,4489.0,59.350859535171,191.4956817626953,132.5049591064453,240.85511779785156,1.0,0.2034139633178711,0.19352775812149048,0.06175362048384385,0.16547394543886185,0.23678234219551086,3072.0,1.0,0.2528996379230731,0.24373841285705566,0.08033945598292352,0.20105035603046417,0.2928609848022461,3130.0,1.0,0.052990088860193886,0.04896702617406845,3072.0,1.0,39.85368347167969,26.1314640045166,3072.0,1.0,0.23145317555108813,0.21545098721981049,0.0691179750847118,3004.0,1.0,0.21067703783321684,0.19950324296951294,0.061718067778334884,3130.0,1.0,-0.02077613771787129,-8.976389141520082,1.9415454761402027,2.2291011810302734,4.047282959636042,2960.0,1.0
RGI2000-v7.0-G-14-19892,14,14-02,G076981E35183N,855543,752,2000-08-27T00:00:00,76.9891996579595,35.1860435,43,6.888552213150005,0,0,3,9,,0,76.97032352727486,35.161374993272894,4470.012,6688.802,5564.1777,5479.7227,25.333569,197.9706573486328,5,COPDEM30,5940,5618.5703125,5873.34912109375,5733.149739583333,18.0,79.91006653153863,5748.3876953125,5639.865234375,5781.1737060546875,1.0,254.77880859375,130.38074731045083,61.0,54.86173485929936,111.72528076171875,88.75330352783203,191.43861389160156,1.0,0.17874641418457032,0.12635213136672974,0.06951898946222466,0.11837298423051834,0.25822511315345764,45.0,1.0,0.1698049545288086,0.11498712003231049,0.07320175133632356,0.10654941946268082,0.24479635059833527,45.0,1.0,-0.008941451708475748,-0.009380921721458435,45.0,1.0,-6.1134765625,-7.454995155334473,45.0,1.0,0.16946907043457032,0.12279108166694641,0.06565451696594501,45.0,1.0,0.1571402867635091,0.11515326797962189,0.056271297609204914,45.0,1.0,-0.012328783671061216,-7.2749461830683675,-1.3330216301812066,-1.3476535081863403,1.5732900525407774,45.0,1.0
RGI2000-v7.0-G-14-19917,14,14-02,G076894E35290N,855566,752,2002-07-10T00:00:00,76.991346635918,35.303872999999996,43,142.3665097243812,0,0,3,9,Bilafond Glacier,0,76.85428568853058,35.23209141670387,3782.9028,7376.628,5344.8853,5266.92,19.47921,291.2575912475586,7,COPDEM90,23012,4024.713623046875,6061.12548828125,5231.821123321123,3276.0,477.81732838848967,5384.7783203125,4830.3154296875,5646.7755126953125,1.0,2036.411865234375,208.7746374178202,30269.0,82.23952223556827,199.30157470703125,156.83892822265625,259.05841064453125,1.0,0.25353407300573544,0.22390925884246826,0.12682827735695992,0.1744808554649353,0.2997473031282425,21402.0,1.0,0.2720768055774577,0.2319970428943634,0.15571365581990235,0.1699497327208519,0.32064346224069595,21402.0,1.0,0.018542622775744526,0.007547240704298019,21402.0,1.0,6.753939468273993,4.051708698272705,21402.0,1.0,0.25910621032058917,0.23064929246902466,0.13324103993765882,21402.0,1.0,0.24573350511926456,0.22236037254333496,0.12004266845486504,21402.0,1.0,-0.013372705201324608,-5.161090189532205,1.293837261850528,1.0429027080535889,4.614833386476479,21402.0,1.0
RGI2000-v7.0-G-14-19934,14,14-02,G077143E35179N,856892,752,2002-07-10T00:00:00,77.1154681199248,35.1707465,43,10.033967069600731,0,0,3,9,IN5Q151B0004 Dzingrulma Glacier,0,77.16029647990834,35.186133280735795,4499.8,6180.232,5335.8076,5296.778,21.386694,20.135118,1,COPDEM30,6660,5206.193359375,5478.92041015625,5332.577482876713,73.0,68.12793715503608,5319.59912109375,5277.5205078125,5386.89404296875,1.0,272.72705078125,133.45437066724438,577.0,24.051414243915332,132.9905242919922,122.5793228149414,145.0745086669922,1.0,0.14071552841751664,0.11515969038009644,0.09684407168347879,0.07474936544895172,0.1775115802884102,27.0,1.0,0.1821394849706579,0.16472256183624268,0.07351417282474704,0.13472286611795425,0.2010861337184906,27.0,1.0,0.0414239521379824,0.05146999657154083,27.0,1.0,93.98891420717592,36.972862243652344,27.0,1.0,0.041358578205108645,0.015656543895602226,0.06848829202423096,20.0,1.0,0.14042082539311163,0.12462759017944336,0.05905319607464876,27.0,1.0,0.09906224718800298,239.52043684075852,7.183554840087891,5.380685806274414,7.623497815066183,10.0,1.0
RGI2000-v7.0-G-14-19936,14,14-02,G077040E35150N,856092,752,2002-07-10T00:00:00,77.04244811932092,35.1582315,43,21.829721621550096,0,0,3,9,,0,77.02804963193708,35.13305006280654,4669.6953,6399.5884,5434.8633,5430.693,19.469902,262.8124542236328,7,COPDEM90,7889,5100.341796875,5766.630859375,5291.441598360656,183.0,138.4995731724329,5238.4072265625,5203.48486328125,5366.069091796875,1.0,666.2890625,135.8620097282273,1619.0,41.206375004984864,149.3723907470703,100.20501327514648,171.64828491210938,1.0,0.16988472892966713,0.16132108867168427,0.034850326621561054,0.14740083366632462,0.18818970769643784,1151.0,1.0,0.18223071989031278,0.1676330864429474,0.04013589265208214,0.1529746726155281,0.20429519563913345,1151.0,1.0,0.012346010846122258,0.010667681694030762,1151.0,1.0,8.356350286435708,6.383264064788818,1151.0,1.0,0.1768132001808889,0.1685069054365158,0.030968774390618962,1151.0,1.0,0.16502766149340248,0.15953455865383148,0.027134001186822836,1151.0,1.0,-0.011785538687486413,-6.665531009805382,-0.07168616221118863,-0.35306859016418457,2.7265207177950197,1151.0,1.0
RGI2000-v7.0-G-14-19943,14,14-02,G077033E35084N,855478,752,2000-08-27T00:00:00,76.98272678492229,35.08867,43,49.56906329871134,0,0,0,9,IN5Q150D0084 Gyong Glacier,0,76.98786183608702,35.14168752904736,4163.1973,6550.8394,5200.6646,5179.556,16.22982,9.665257,1,COPDEM90,19127,4715.55810546875,5604.09033203125,5256.795754026354,683.0,203.17646118159809,5307.22607421875,5110.388916015625,5412.01953125,1.0,888.5322265625,215.09005954349985,6046.0,51.19836149195835,220.42556762695312,184.78160858154297,250.16973876953125,1.0,0.2844915817032999,0.26355820894241333,0.12501745095541947,0.18442917615175247,0.3657478466629982,4288.0,1.0,0.4418132838918202,0.4323256015777588,0.18996261057720465,0.28361938893795013,0.593366801738739,4288.0,1.0,0.1573217021885203,0.09980715811252594,4288.0,1.0,79.94792881296642,33.96038818359375,4288.0,1.0,0.3654983862122493,0.35384225845336914,0.13594107837643346,4288.0,1.0,0.31461374083561683,0.29916924238204956,0.11546679171927716,4288.0,1.0,-0.050884645376632454,-13.921989069216611,2.5087444248484143,2.6158056259155273,7.732907863590716,4288.0,1.0
RGI2000-v7.0-G-14-19975,14,14-02,G076962E35117N,855263,752,2000-08-27T00:00:00,76.96156216852486,35.117322,43,3.407704563780184,0,0,0,9,,0,76.98341208373844,35.11376184860504,4747.6885,5834.297,5250.233,5277.4395,17.038006,71.09573,3,COPDEM30,3972,5324.42919921875,5389.5654296875,5353.987723214285,14.0,17.73183459649348,5355.763671875,5340.97216796875,5362.404541015625,1.0,65.13623046875,90.56534529320987,81.0,6.006818050694674,91.63417053222656,87.08045196533203,94.73514556884766,1.0,0.14967392336937688,0.14926356077194214,0.006307244449383617,0.1452474109828472,0.15443139150738716,62.0,1.0,0.1782642949012018,0.18153169751167297,0.0153967756422292,0.1649843342602253,0.19103185459971428,62.0,1.0,0.028590346536328717,0.02717547118663788,62.0,1.0,19.054988738029234,18.82181167602539,62.0,1.0,0.16445122995684225,0.16672968864440918,0.010174560293358932,62.0,1.0,0.1612014309052498,0.162851482629776,0.008309184534239348,62.0,1.0,-0.00324979905159245,-1.9761476107204008,0.8703849546370968,0.7364158630371094,1.6406783593992984,62.0,1.0
RGI2000-v7.0-G-14-20040,14,14-02,G077129E35401N,858699,752,2002-07-10T00:00:00,77.2929016077947,35.421495500000006,43,1087.964899376136,0,0,3,9,IN5Q151B0013 Siachen Glacier,0,77.20531462731482,35.202169701109746,3574.9792,7690.0454,5514.8447,5499.4585,15.154733,41.76612,2,COPDEM90,76492,3623.39453125,7217.4609375,5416.8704614108865,67532.0,607.400690487502,5412.4501953125,5010.56005859375,5898.5992431640625,1.0,3594.06640625,394.7717322763715,710464.0,254.13147785292384,338.93096923828125,187.17904663085938,611.5421752929688,1.0,0.4284370216417164,0.38960421085357666,0.24135211468448883,0.24726249277591705,0.5404098927974701,269803.0,1.0,0.5437854473546185,0.5373923778533936,0.2622220194722777,0.32911908626556396,0.7192332446575165,270736.0,1.0,0.11672679782795224,0.08500957489013672,269803.0,1.0,40.82534293540102,22.992033004760742,269803.0,1.0,0.4774640160031066,0.4421340823173523,0.2494366657768368,269104.0,1.0,0.42371956675506767,0.41511255502700806,0.18847941598901313,270736.0,1.0,-0.05374444924803895,-11.25623030148711,2.83014355069387,2.6357085704803467,5.309590071530636,268494.0,1.0
RGI2000-v7.0-G-14-20369,14,14-02,G076776E36109N,853269,752,2002-07-10T00:00:00,76.75691587353725,36.127801500000004,43,14.376609204474212,0,0,3,9,,0,76.77226193520058,36.16526737836848,4759.626,6277.374,5730.9023,5679.1665,22.00512,11.693786,1,COPDEM90,9826,5576.83642578125,5894.28662109375,5701.884659090909,110.0,86.37458297882175,5665.06005859375,5645.0045166015625,5729.85205078125,1.0,317.4501953125,163.33660421225383,914.0,42.70126158187327,174.43603515625,143.58563613891602,198.51509475708008,1.0,0.2996494978803643,0.30597952008247375,0.12710764469262376,0.19056958705186844,0.38684140145778656,651.0,1.0,0.42645169915874614,0.4030991494655609,0.1387131099977441,0.33414196968078613,0.5079733729362488,651.0,1.0,0.12680217783938172,0.13570630550384521,651.0,1.0,61.16249039938556,44.535675048828125,651.0,1.0,0.33205752511910763,0.30191317200660706,0.11956964338554771,651.0,1.0,0.34785215316280244,0.3307911455631256,0.10377960526376066,651.0,1.0,0.015794628043694803,4.756593917884961,8.835194952476959,8.500741004943848,4.291269372892762,651.0,1.0
RGI2000-v7.0-G-14-20403,14,14-02,G076811E36091N,853721,752,2002-07-10T00:00:00,76.80178893339837,36.098961,43,11.85879206155878,0,0,3,9,,0,76.84345424363886,36.12928959004077,4742.0947,6497.176,5768.7607,5715.824,22.672674,59.656883,2,COPDEM30,8880,5696.18359375,6154.70166015625,5841.422348484848,99.0,114.76925077956156,5817.49560546875,5776.43359375,5851.749755859375,1.0,458.51806640625,131.8764890160891,808.0,36.307609441206296,143.1642608642578,116.84307861328125,155.4538803100586,1.0,0.220167459095812,0.22053831815719604,0.08564913645334321,0.16987848281860352,0.28119925409555435,574.0,1.0,0.37894474255498695,0.37089699506759644,0.05096791633293587,0.3449167460203171,0.40295662730932236,574.0,1.0,0.1587772701675468,0.15198072791099548,574.0,1.0,108.06471172691637,63.06137466430664,574.0,1.0,0.27830853611750056,0.2813487648963928,0.0762892665247044,574.0,1.0,0.2838733154722207,0.2800907492637634,0.05578896666897689,574.0,1.0,0.005564779354720162,1.9995000628980846,6.438610542111281,6.277011871337891,6.056183076384777,574.0,1.0
RGI2000-v7.0-G-14-20405,14,14-02,G076794E36050N,853892,752,2002-07-10T00:00:00,76.81666663409356,36.0547525,43,3.962425458482733,0,0,3,9,,0,76.82326769555786,36.053247718883654,5124.352,6162.9575,5615.637,5595.1675,26.659658,65.88084,2,COPDEM30,4887,5481.2197265625,5631.51904296875,5542.680921052632,19.0,44.405603867184276,5537.876953125,5505.026123046875,5574.11083984375,1.0,150.29931640625,79.71681547619048,105.0,7.114676037414246,79.86550903320312,74.56709289550781,84.43910217285156,1.0,0.24706255925166143,0.2488478273153305,0.012928786216812134,0.2340487837791443,0.2583673894405365,77.0,1.0,0.28355623220468495,0.27693331241607666,0.03473192874933565,0.25478506088256836,0.3149868845939636,77.0,1.0,0.03649367604936872,0.02952098846435547,77.0,1.0,15.072441596489448,12.155122756958008,77.0,1.0,0.26440191888189934,0.2662259340286255,0.012889032906199825,77.0,1.0,0.2512704428140219,0.2503949701786041,0.015142342197327638,77.0,1.0,-0.013131476067877457,-4.966482892184646,0.9909436114422687,2.210540533065796,5.02118665208678,77.0,1.0
RGI2000-v7.0-G-14-20411,14,14-02,G076463E35936N,851113,752,2002-07-10T00:00:00,76.51784831273652,35.953272,43,14.775154329101643,0,0,3,9,,0,76.49430779765926,35.98488919082909,4971.2944,7479.245,5617.538,5732.3154,24.820187,1.3658766,1,COPDEM90,10922,5372.50146484375,5400.9912109375,5382.754807692308,26.0,5.819657880587654,5381.70849609375,5379.8536376953125,5385.35546875,1.0,28.48974609375,254.10496238425927,162.0,21.041299687550516,258.146728515625,240.53713989257812,269.7296447753906,1.0,0.227491047071374,0.21952548623085022,0.06002133622045462,0.17796947062015533,0.2729252129793167,115.0,1.0,0.30060093091881795,0.28728926181793213,0.08508218709587921,0.23372451215982437,0.3628005385398865,115.0,1.0,0.07310986726180367,0.07355356216430664,115.0,1.0,32.12435461956522,27.939334869384766,115.0,1.0,0.23397380994713823,0.22066113352775574,0.06718194030987672,115.0,1.0,0.25524942149286683,0.2426227331161499,0.06505774746482762,115.0,1.0,0.0212756115457286,9.09315942264453,6.801668117357337,7.507140159606934,2.659050843743573,115.0,1.0
RGI2000-v7.0-G-14-20416,14,14-02,G076464E35937N,850619,752,2002-07-10T00:00:00,76.45769900398247,35.967369000000005,43,72.19218518217743,0,0,3,9,,0,76.4509798619607,36.053321595281204,4129.702,8499.572,5742.4175,5702.3667,23.401201,6.339073,1,COPDEM90,21435,4512.1201171875,6476.89599609375,5548.078988941548,1266.0,430.03958323263265,5712.12109375,5231.1094970703125,5848.4959716796875,1.0,1964.77587890625,187.1244888192813,11493.0,107.77350721826387,183.9198455810547,84.42581176757812,266.0129699707031,1.0,0.25268988835042616,0.19219638407230377,0.14159987491430842,0.14916446805000305,0.34383995085954666,8154.0,1.0,0.3368107952672768,0.23511913418769836,0.2237440854615733,0.17844676971435547,0.47031593322753906,8154.0,1.0,0.08412093685806046,0.048975057899951935,8154.0,1.0,30.271981159553594,25.852798461914062,8154.0,1.0,0.31719801535289427,0.2889448404312134,0.1612006297092706,8154.0,1.0,0.27089180851614236,0.19759641587734222,0.1746844805845239,8154.0,1.0,-0.046306206836751906,-14.598517202333241,-5.132781361141771,-0.9374905824661255,14.60524718924514,8154.0,1.0
